"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"45","157.19543257732127","156.057292393859","0.0244140625","0.0283203125","0.0205078125","1560","0.00016640719427421234","0.00016640719427421234","0","0.00016640719427421234","0.00016640719427421234","45_44:0.0027902990916925385;45_46:0.005070464687558784;45_37:0.00293407480642921","45_44:0.002690124918992759;45_46:0.0069527455475721645;45_37:0.002451549395405511","45_44:84;45_46:84;45_37:84","true"
"46","195.04104248824575","8.906741545091919","0.00634765625","0.01025390625","0.00244140625","1560","0.0004787447987770065","0.0004787447987770065","0","0.0004787447987770065","0.0004787447987770065","46_45:0.005070464687558784;46_47:0.005067280081358205","46_45:0.0069527455475721645;46_47:0.008398313294074922","46_45:84;46_47:84","true"
"47","132.41384129150455","61.69441393697627","0.016845703125","0.02099609375","0.0126953125","1560","0.00014645965807448172","0.00014645965807448172","0","0.00014645965807448172","0.00014645965807448172","47_48:0.0034490412246047653;47_57:0.004734116183288506;47_46:0.005067280081358205","47_48:1;47_57:0.002994424103157617;47_46:0.008398313294074922","47_48:84;47_57:84;47_46:84","true"
"48","143.5048596066276","19.846480998914647","0.00634765625","0.0087890625","0.00390625","1560","0.0003261631249073662","0.0003261631249073662","0","0.0003261631249073662","0.0003261631249073662","48_47:0.0034490412246047653;48_49:0.0034688531430254743","48_47:1;48_49:0.003794161462442547","48_47:84;48_49:84","true"
"49","128.0758604916443","29.109064189727217","0.023193359375","0.02783203125","0.0185546875","1560","0.00028462623276448066","0.00028462623276448066","0","0.00028462623276448066","0.00028462623276448066","49_48:0.0034688531430254743;49_50:0.004255179777153895;49_38:0.0036620107943565183","49_48:0.003794161462442547;49_50:0.003526409882963766;49_38:0.003942242559595688","49_48:84;49_50:84;49_38:84","true"
"50","152.02387378835996","86.09957795790692","0.00439453125","0.00732421875","0.00146484375","1560","0.00020361723924477795","0.00020361723924477795","0","0.00020361723924477795","0.00020361723924477795","50_49:0.004255179777153895;50_51:0.0035619590840925697","50_49:0.003526409882963766;50_51:0.0032617831288224985","50_49:84;50_51:84","true"
"51","70.466730739661","47.315863843039146","0.04638671875","0.0380859375","0.0546875","1560","0.0002751077587121783","0.0002751077587121783","0","0.0002751077587121783","0.0002751077587121783","51_50:0.0035619590840925697;51_52:0.003627003339087942;51_58:0.0037891850123831228","51_50:0.0032617831288224985;51_52:1;51_58:0.004111341591344075","51_50:84;51_52:84;51_58:84","true"
"52","143.56535304498516","64.51744823822239","0.00634765625","0.00830078125","0.00439453125","1560","0.0003190646417910131","0.0003190646417910131","0","0.0003190646417910131","0.0003190646417910131","52_51:0.003627003339087942;52_53:0.004990230232275572","52_51:1;52_53:0.005587341206858248","52_51:84;52_53:84","true"
"53","162.3694443614254","14.840960179453987","0.00927734375","0.01123046875","0.00732421875","1560","0.0001658406296235462","0.0001658406296235462","0","0.0001658406296235462","0.0001658406296235462","53_39:0.0043189815025320155;53_52:0.004990230232275572;53_54:0.014831906207329715","53_39:0.004202861107698186;53_52:0.005587341206858248;53_54:0.003405805110354293","53_39:84;53_52:84;53_54:84","true"
"54","164.5452554098194","107.44338579335839","0.00439453125","0.0078125","0.0009765625","1560","0.00028701759115174277","0.00028701759115174277","0","0.00028701759115174277","0.00028701759115174277","54_53:0.014831906207329715;54_55:0.0052857839236089554","54_53:0.003405805110354293;54_55:0.006952366622691775","54_53:84;54_55:84","true"
"55","166.68094769236552","181.3744563420903","0.069580078125","0.134765625","0.00439453125","1560","0.00013244384676956673","0.00013244384676956673","0","0.00013244384676956673","0.00013244384676956673","55_59:0.008587490190691771;55_54:0.0052857839236089554","55_59:1;55_54:0.006952366622691775","55_59:84;55_54:84","true"
"56","158.0983555103751","101.91185778870468","0.00390625","0.00732421875","0.00048828125","1560","0.00022229402747093665","0.00022229402747093665","0","0.00022229402747093665","0.00022229402747093665","56_63:0.005190474686200985;56_43:0.008614784696913624","56_63:0.0061336245428119385;56_43:0.013960431587450528","56_63:84;56_43:84","true"
"57","124.67248019597223","52.97004083813839","0.00830078125","0.01513671875","0.00146484375","1560","0.00024183490649587006","0.00024183490649587006","0","0.00024183490649587006","0.00024183490649587006","57_47:0.004734116183288506;57_67:0.004979623207987449","57_47:0.002994424103157617;57_67:0.005049388731030557","57_47:84;57_67:84","true"
"58","173.20300913630976","79.35988485027154","0.01025390625","0.02001953125","0.00048828125","1560","0.00019600324175286367","0.00019600324175286367","0","0.00019600324175286367","0.00019600324175286367","58_71:0.0028095496423548028;58_51:0.0037891850123831228","58_71:0.0034983663044767244;58_51:0.004111341591344075","58_71:84;58_51:84","true"
